,ConBase,ConStove,ConOven,ConDHW,Qheat,Qcool
1829,0.141666667,0,0,0.256930667,0.009986763,0
1830,0.177411667,0,0,0.325343333,0.005499557,0
1831,0.183711667,0,0,0.136825333,0.011165642,0
1832,0.20186,0,0,0.268634667,0.006163122,0
1833,0.158265,0,0,0.00836,0.005695513,0
1834,0.220573333,0.012,0,0.130137333,0.008676726,0
1835,0.232905,0,0,0.005016,0.008213768,0
1836,0.206211667,0.06,0,0.135153333,0.007895083,0
1837,0.311221667,0,0,0.140935667,0.007024768,0
1838,0.256048333,0,0,0.069039667,0.006275518,0
1839,0.210175,0,0,0.010798333,0.004044628,0
1840,0.172411667,0,0,0,0,0
1841,0.161466667,0,0,0,0.000846344,0
1842,0.159666667,0,0,0.023408,0.003353602,0
1843,0.181788333,0.108,0,0.011704,0.003739282,0
1844,0.204581667,0.024,0,0.266057,0.006907933,0
1845,0.197311667,0,0,0.013376,0.006161155,0
1846,0.164126667,0,0,0.003344,0.004315231,0
1847,0.143026667,0,0,0,0.008146283,0
1848,0.141666667,0,0,0,0.010072758,0
1849,0.141666667,0,0,0,0.010240266,0
1850,0.141666667,0,0,0,0.010501664,0
1851,0.141666667,0,0,0,0.00430353,0
1852,0.141666667,0,0,0.00836,0,0
1853,0.141666667,0,0,0.131809333,0,0
1854,0.144086667,0,0,0.193534,0.004878144,0
1855,0.142446667,0,0,0.206004333,0.013751118,0
1856,0.159858333,0,0,0.255258667,0.004775694,0
1857,0.164816667,0,0,0.001672,0.00538543,0
1858,0.155326667,0.012,0,0.140169333,0.00873006,0
1859,0.216833333,0.06,0,0.003344,0.009458159,0
1860,0.254048333,0,0,0.191862,0.00880503,0
1861,0.20682,0.012,0,0.075100667,0.007971476,0
1862,0.17231,0,0,0.269401,0.007545494,0
1863,0.182771667,0,0,0.236727333,0.006581459,0
1864,0.147941667,0,0,0,0.003207734,0
1865,0.153771667,0,0,0.00836,0.00592841,0
1866,0.161291667,0.012,0,0.150201333,0.005546484,0
1867,0.23291,0.024,0.025,0.036784,0.00818516,0
1868,0.217951667,0,0,0.276994667,0.005661484,0
1869,0.202771667,0,0,0.143513333,0.008892514,0
1870,0.169036667,0,0,0,0.011496876,0
1871,0.144086667,0,0,0,0.00881615,0
1872,0.142271667,0,0,0.005016,0.010166129,0
1873,0.141666667,0,0,0,0.011237023,0
1874,0.141666667,0,0,0,0.014346786,0
1875,0.141666667,0,0,0,0.015458745,0
1876,0.141666667,0,0,0,0.012655476,0
1877,0.144666667,0,0,0.135153333,0.002659576,0
1878,0.187881667,0,0,0.387068,0.006342887,0
1879,0.242406667,0,0,0.342829667,0.014331644,0
1880,0.177581667,0,0,0.027518333,0.00606822,0
1881,0.15531,0,0,0.015048,0,0
1882,0.160006667,0.168,0.0625,0.00836,0.012561653,0
1883,0.217346667,0,0,0.065068667,0.012819125,0
1884,0.228116667,0,0,0.131809333,0.010246656,0
1885,0.188591667,0,0,0.024940667,0.007957701,0
1886,0.1939,0,0,0.026612667,0.006760913,0
1887,0.166541667,0,0,0.014142333,0.006340999,0
1888,0.198321667,0,0,0.00836,0.003332753,0
1889,0.222796667,0.024,0.0375,0.003344,0.00160659,0
1890,0.212171667,0,0,0.001672,0.00277686,0
1891,0.222143333,0.012,0,0.005016,0.005490913,0
1892,0.209326667,0,0,0.131809333,0.003090261,0
1893,0.209141667,0,0,0.003344,0.003979937,0
1894,0.185296667,0,0,0.126793333,0.00523345,0
1895,0.144691667,0,0,0,0.007841035,0
1896,0.141666667,0,0,0,0.010239446,0
1897,0.141666667,0,0,0,0.01101863,0
1898,0.141666667,0,0,0,0.011813505,0
1899,0.141666667,0,0,0,0.002304029,0
1900,0.141666667,0,0,0.255258667,0.011846361,0
1901,0.141666667,0,0,0.19019,0.002406434,0
1902,0.142271667,0,0,0.318655333,0,0
1903,0.144551667,0,0,0.275322667,0.011388299,0
1904,0.149691667,0,0,0,0.007597662,0
1905,0.147085,0,0,0.005016,0,0
1906,0.153966667,0.084,0.1125,0.258602667,0.007383834,0
1907,0.195371667,0.012,0,0.003344,0.011362019,0
1908,0.274171667,0.06,0,0.013376,0.010117827,0
1909,0.23231,0.072,0,0.035739,0.010046411,0
1910,0.220773333,0,0,0.014142333,0.010660766,0
1911,0.200571667,0,0,0.010798333,0.003672324,0
1912,0.150136667,0,0,0,0.003212557,0
1913,0.149621667,0,0,0.001672,0.009768819,0
1914,0.241583333,0.072,0,0.010032,0.003455253,0
1915,0.200033333,0.084,0,0.130137333,0.020850183,0
1916,0.211216667,0,0,0.153406,0.006911231,0
1917,0.199746667,0,0,0.026612667,0.018470774,0
1918,0.172786667,0,0,0.001672,0.01793081,0
1919,0.14585,0,0,0,0.027880118,0
1920,0.141666667,0,0,0,0.028362777,0
1921,0.143026667,0,0,0,0.024793227,0
1922,0.141666667,0,0,0,0.024712491,0
1923,0.141666667,0,0,0,0.003540755,0
1924,0.141666667,0,0,0.001672,0,0
1925,0.144086667,0,0,0.001672,0.005068784,0
1926,0.142411667,0,0,0.255258667,0.011837671,0
1927,0.143156667,0,0,0.135153333,0.016266153,0
1928,0.155926667,0,0,0.128465333,0.002510614,0
1929,0.151856667,0,0,0.133481333,0.013815791,0
1930,0.158966667,0.036,0.0125,0.130137333,0.01058509,0
1931,0.184176667,0,0,0,0.016420955,0
1932,0.208145,0,0,0,0.014669496,0
1933,0.179846667,0,0,0.155078,0.012794116,0
1934,0.186656667,0,0,0.15675,0.011762616,0
1935,0.170091667,0,0,0.030862333,0,0
1936,0.164741667,0,0,0.005016,0.00265729,0
1937,0.156216667,0,0.0125,0.015048,0,0
1938,0.192701667,0,0,0.02508,0.004145587,0
1939,0.220626667,0,0,0.156889333,0.003085461,0
1940,0.220126667,0,0,0,0,0
1941,0.220376667,0,0,0,0.008574566,0
1942,0.195511667,0,0,0,0.012487385,0
1943,0.147716667,0,0,0,0.012054655,0
1944,0.141666667,0,0,0,0.013259541,0
1945,0.141666667,0,0,0,0.01329407,0
1946,0.142876667,0,0,0,0.012886647,0
1947,0.141666667,0,0,0,0,0
1948,0.141666667,0,0,0.001672,0,0
1949,0.147111667,0,0,0.003344,0.003163343,0
1950,0.141666667,0,0,0.141841333,0.014122849,0
1951,0.14916,0,0,0.149295667,0.016483902,0
1952,0.15998,0,0,0.119687333,0.005540123,0
1953,0.161753333,0,0,0.126793333,0.007578602,0
1954,0.145846667,0,0,0.153545333,0.009578305,0
1955,0.183935,0,0,0.001672,0.014331733,0
1956,0.188663333,0.192,0.2,0.018392,0.019806059,0
1957,0.236166667,0,0,0.023268667,0.015812545,0
1958,0.20966,0,0,0.001672,0.013811728,0
1959,0.160336667,0,0,0.202660333,0.005924051,0
1960,0.150741667,0,0,0.316983333,0,0
1961,0.18997,0,0,0.19019,0,0
1962,0.217818333,0,0,0,0,0
1963,0.263436667,0,0,0.063396667,0.004902444,0
1964,0.19963,0,0,0.017486333,0.012030005,0
1965,0.200481667,0,0,0.213598,0.002712435,0
1966,0.187041667,0,0,0,0.002003682,0
1967,0.143481667,0,0,0.001672,0.01553424,0
1968,0.141666667,0,0,0,0.016631901,0
1969,0.141666667,0,0,0.001672,0.016112232,0
1970,0.141666667,0,0,0,0.01589834,0
1971,0.141666667,0,0,0,0.014212758,0
1972,0.145066667,0,0,0,0.014232511,0
1973,0.141666667,0,0,0.063396667,0.002192565,0
1974,0.143761667,0,0,0.398772,0.002141582,0
1975,0.144531667,0,0,0.522221333,0.010748429,0
1976,0.143481667,0,0,0.150201333,0.008042196,0
1977,0.155736667,0,0,0.071756667,0.012067321,0
1978,0.148101667,0,0,0.191862,0.0131737,0
1979,0.214156667,0,0,0.073428667,0.013297626,0
1980,0.182846667,0.192,0,0.140169333,0.011893903,0
1981,0.165936667,0.048,0.075,0.005016,0.010379686,0
1982,0.162611667,0,0,0,0.010342047,0
1983,0.183106667,0,0,0.021596667,0.011201181,0
1984,0.178796667,0,0,0.005016,0.003125731,0
1985,0.175505,0,0,0.001672,0.00914578,0
1986,0.219466667,0,0,0,0.002929853,0
1987,0.204735,0.12,0,0.001672,0.008219112,0
1988,0.211566667,0,0,0.255258667,0,0
1989,0.214131667,0,0,0,0.007060747,0
1990,0.181596667,0,0,0.126793333,0.011076617,0
1991,0.145971667,0,0,0,0.010758761,0
1992,0.142271667,0,0,0,0.011123005,0
1993,0.141666667,0,0,0,0.013308591,0
1994,0.141666667,0,0,0.001672,0.015471542,0
1995,0.141666667,0,0,0.215966667,0.015305951,0
1996,0.141666667,0,0,0.001672,0,0
1997,0.141666667,0,0,0.006688,0,0
1998,0.144086667,0,0,0.013376,0,0
1999,0.154166667,0,0,0.020064,0.010323321,0
2000,0.153246667,0,0,0.205238,0.016777934,0
2001,0.1587,0,0,0.140169333,0.005930311,0
2002,0.1574,0,0,0.003344,0.015054412,0
2003,0.152771667,0,0,0.001672,0.014189281,0
2004,0.160411667,0.036,0,0.005016,0.0144433,0
2005,0.170696667,0.012,0,0.021596667,0.01320813,0
2006,0.178106667,0,0,0.032395,0.010320164,0
2007,0.166991667,0,0,0.014142333,0.003128856,0
2008,0.235196667,0,0,0,0.010005988,0
2009,0.2329,0,0,0,0.00462628,0
2010,0.184503333,0,0,0,0.005992912,0
2011,0.171653333,0.06,0,0.001672,0.008284462,0
2012,0.243013333,0,0,0.185940333,0.003094029,0
2013,0.208481667,0,0,0.044238333,0.006160614,0
2014,0.164491667,0,0,0.006688,0.006602549,0
2015,0.146426667,0,0,0,0.009927814,0
