,Med,Eur,Pot4kw,EK,Nek,C1500,C1520,C2025,C2500,C3000,HEATING,COOLING
3570,0.2302,0.224,0.21849886,0.232707,0.225523,0.168221,0.209155978,0.25538559,0.322034418,0.488935,0,0
3571,0.3401,0.224,0.279147578,0.3663067,0.2904977,0.245689,0.300245342,0.386559896,0.420743836,0.480156667,0,0
3572,0.4166,0.224,0.337400285,0.4439262,0.3462934,0.284935,0.34468028,0.473699566,0.530913014,0.643278333,0,0
3573,0.2706,0.224,0.258843732,0.2771636,0.2664331,0.182191,0.231607686,0.318738889,0.385255651,0.455038333,0,0
3574,0.2853,0.127,0.265901994,0.2873516,0.2757633,0.1686,0.238468866,0.345909983,0.407574315,0.502368333,0,0
3575,0.1956,0.127,0.180833048,0.198944,0.1869438,0.129344,0.173456289,0.232577083,0.267145719,0.359511667,0,0
3576,0.1147,0.084,0.108257123,0.1183837,0.1133465,0.094754,0.108709938,0.140273958,0.155597945,0.17007,0,0
3577,0.1034,0.084,0.099736752,0.1021224,0.1046082,0.090743,0.099367935,0.121805382,0.129472089,0.14481,0,0
3578,0.0981,0.084,0.097036752,0.0990707,0.0984135,0.089068,0.097851009,0.112896094,0.126452911,0.143801667,0,0
3579,0.0982,0.084,0.096636182,0.0984024,0.0979378,0.089439,0.097488432,0.112965104,0.125165925,0.144003333,0,0
3580,0.0998,0.084,0.09658661,0.09948,0.0979517,0.088918,0.097362189,0.114932986,0.127071062,0.145186667,0,0
3581,0.1844,0.084,0.182437749,0.1841128,0.183479,0.173313,0.18240427,0.199694444,0.211848459,0.229816667,0,0
3582,0.1888,0.084,0.183644444,0.1865522,0.1855689,0.17373,0.184320497,0.202363455,0.217291781,0.234018333,0,0
3583,0.2001,0.127,0.193815242,0.1966482,0.1963735,0.178078,0.191509627,0.220747743,0.227132877,0.245631667,0,0
3584,0.2357,0.127,0.238496011,0.2395607,0.2454724,0.222863,0.236018478,0.267687066,0.280554281,0.291153333,0,0
3585,0.1752,0.224,0.156218946,0.1692598,0.1620443,0.137525,0.168141537,0.193162674,0.196506336,0.193315,0,0
3586,0.1885,0.224,0.170209544,0.1867611,0.1769876,0.153668,0.184867702,0.200140104,0.219630651,0.218321667,0,0
3587,0.2636,0.224,0.183366382,0.2587917,0.2018881,0.157654,0.22327795,0.277254601,0.338213356,0.370856667,0,0
3588,0.3773,0.224,0.261063533,0.3384104,0.2873532,0.206723,0.304560016,0.388673611,0.391953253,0.32655,0,0
3589,0.3825,0.127,0.326888746,0.3839737,0.3384704,0.213788,0.318114519,0.447783333,0.471911644,0.445786667,0,0
3590,0.3464,0.127,0.282875499,0.3359261,0.3068046,0.207542,0.283025,0.378297309,0.514102568,0.616283333,0,0
3591,0.3366,0.127,0.296775783,0.3233255,0.3185206,0.199859,0.275971972,0.38038941,0.477390411,0.542001667,0,0
3592,0.2448,0.127,0.234370798,0.2526838,0.242702,0.13946,0.210060404,0.298121962,0.386886815,0.525993333,0,0
3593,0.2004,0.224,0.188201994,0.2053363,0.197423,0.129524,0.165331832,0.23758559,0.323799829,0.390606667,0,0
3594,0.231,0.224,0.233928205,0.2432988,0.2413199,0.18671,0.208343556,0.265422396,0.340016096,0.441588333,0,0
3595,0.3391,0.224,0.309449573,0.3657108,0.3076008,0.236113,0.293601863,0.426646528,0.517506336,0.565095,0,0
3596,0.3834,0.224,0.339488462,0.4190435,0.3405069,0.252657,0.328162345,0.459258681,0.495954795,0.459251667,0,0
3597,0.2799,0.127,0.236608547,0.2999248,0.2525396,0.183481,0.244104037,0.299607292,0.408369178,0.404356667,0,0
3598,0.2943,0.127,0.269124786,0.2990026,0.2674705,0.181604,0.255209472,0.314374132,0.471032192,0.525501667,0,0
3599,0.1958,0.084,0.190956553,0.2091801,0.1921255,0.126793,0.185436957,0.216684549,0.311878082,0.376725,0,0
3600,0.1185,0.084,0.111640171,0.1274015,0.1145443,0.095959,0.114161491,0.134853906,0.17537637,0.26806,0,0
3601,0.1025,0.084,0.09782906,0.106684,0.1000583,0.0901,0.100467624,0.117634635,0.144534932,0.158918333,0,0
3602,0.0979,0.084,0.096617236,0.0990892,0.0979985,0.089346,0.098302484,0.112318663,0.125818664,0.145388333,0,0
3603,0.0979,0.084,0.096438034,0.098475,0.0977321,0.088885,0.097359239,0.112653906,0.12568613,0.144053333,0,0
3604,0.0979,0.084,0.096771795,0.0997319,0.0980784,0.089024,0.097399224,0.112455382,0.128486301,0.1436,0,0
3605,0.1833,0.084,0.180989174,0.1862054,0.1822103,0.173309,0.181742236,0.198169792,0.215229281,0.228001667,0,0
3606,0.1048,0.127,0.098878632,0.1075483,0.1001122,0.090105,0.100241848,0.119065972,0.141409418,0.16088,0,0.004691187
3607,0.1155,0.127,0.115387322,0.1147906,0.1180925,0.09866,0.108620497,0.140819531,0.150371404,0.15147,0,0
3608,0.1198,0.224,0.121617806,0.1175062,0.1240236,0.098898,0.114444876,0.141912847,0.172476884,0.226208333,0,0
3609,0.1301,0.224,0.129191168,0.12633,0.1367646,0.106114,0.133224146,0.153150868,0.17197363,0.20517,0,0
3610,0.1531,0.224,0.150859687,0.160512,0.1507354,0.137229,0.154443556,0.174988455,0.182943151,0.17476,0,0
3611,0.2231,0.224,0.172251709,0.2452585,0.1812333,0.156887,0.211380745,0.239073438,0.292149486,0.279258333,0,0
3612,0.3108,0.127,0.243639459,0.3336439,0.2585589,0.182864,0.284986335,0.331382205,0.473978767,0.478983333,0,0
3613,0.3294,0.127,0.252712536,0.4152999,0.2744707,0.189246,0.292477873,0.422479167,0.539900171,0.60158,0,0
3614,0.2814,0.127,0.247819801,0.3009046,0.2566414,0.154455,0.240465916,0.344840451,0.445930822,0.432223333,0,0
3615,0.2773,0.127,0.268642308,0.2757989,0.265127,0.151148,0.223838509,0.335544965,0.399676541,0.47654,0,0
3616,0.2508,0.224,0.226057835,0.2410293,0.2263276,0.137525,0.194235947,0.286046094,0.365070548,0.47179,0,0
3617,0.2019,0.224,0.172373219,0.1844686,0.1873009,0.125357,0.167910016,0.219568663,0.283394863,0.38846,0,0
3618,0.24,0.224,0.21021396,0.2596578,0.2253566,0.17179,0.216722981,0.267131858,0.341723801,0.367525,0,0
3619,0.3309,0.224,0.277816524,0.3486547,0.2956964,0.228743,0.290357686,0.387421788,0.489342466,0.754205,0,0
3620,0.3958,0.127,0.341108547,0.4140572,0.3519514,0.240774,0.342915295,0.483496615,0.582509075,0.589455,0,0
3621,0.2865,0.127,0.256771937,0.2643656,0.2677338,0.169056,0.230630435,0.348499306,0.398078596,0.447956667,0,0
3622,0.2916,0.084,0.295841168,0.2729633,0.3036083,0.171637,0.238997904,0.361715972,0.449798288,0.523673333,0,0
3623,0.1985,0.084,0.206752707,0.1893072,0.2178028,0.133241,0.170729425,0.242330122,0.319272774,0.357606667,0,0
3624,0.1251,0.084,0.119141026,0.1162832,0.1247383,0.096515,0.111384705,0.138839844,0.182533733,0.252245,0,0
3625,0.102,0.084,0.101943162,0.1009535,0.1104752,0.090275,0.100679814,0.120054167,0.149319178,0.219353333,0,0
3626,0.0981,0.084,0.097154416,0.098558,0.0983091,0.08923,0.097864984,0.11285625,0.126294178,0.150943333,0,0
3627,0.0976,0.084,0.096791168,0.0981937,0.0979392,0.089233,0.097441382,0.112406684,0.125165925,0.1436,0,0
3628,0.0986,0.084,0.097641738,0.0983131,0.0987953,0.089124,0.097511801,0.113447917,0.126427911,0.143801667,0,0
3629,0.1827,0.084,0.181952422,0.1837655,0.18352,0.173138,0.181912345,0.198814062,0.212877055,0.233148333,0,0
3630,0.1451,0.084,0.144191168,0.1454602,0.1460367,0.131566,0.141358385,0.163115365,0.179611986,0.196093333,0,0
3631,0.1166,0.084,0.114367236,0.1120669,0.1192093,0.095386,0.105467391,0.139108073,0.146311815,0.154446667,0,0
3632,0.1296,0.084,0.116688177,0.1138157,0.1203337,0.101866,0.116644488,0.139852778,0.163608048,0.175295,0,0
3633,0.1404,0.084,0.126748291,0.1468752,0.1310532,0.117101,0.13539868,0.152261458,0.179232534,0.175166667,0,0
3634,0.1621,0.084,0.141566524,0.1574449,0.1425417,0.125595,0.146721273,0.17228533,0.18901661,0.176841667,0,0
3635,0.2209,0.084,0.173768803,0.2586357,0.1706595,0.122765,0.198244488,0.266051476,0.282176712,0.355726667,0,0
3636,0.3132,0.084,0.270730912,0.4030314,0.2630137,0.194067,0.280711801,0.397100087,0.513450685,0.679545,0,0
3637,0.385,0.084,0.287966524,0.4369706,0.3131781,0.224347,0.327705047,0.443556597,0.594595034,0.685126667,0,0
3638,0.3047,0.084,0.265621652,0.295873,0.2904,0.17511,0.267023214,0.353084809,0.378977226,0.342445,0,0
3639,0.3009,0.084,0.277814245,0.2815767,0.288242,0.19153,0.233697127,0.349049566,0.441251027,0.500118333,0,0
3640,0.2547,0.084,0.227454701,0.2372733,0.2335274,0.157005,0.187813121,0.289261198,0.38091524,0.481041667,0,0
3641,0.204,0.084,0.185427493,0.1944197,0.1961664,0.128321,0.157062966,0.240547049,0.311713014,0.354333333,0,0
3642,0.2393,0.084,0.218872365,0.2422076,0.2284367,0.179361,0.206000543,0.274575087,0.35798339,0.405473333,0,0
3643,0.3567,0.084,0.296381766,0.3553596,0.3006671,0.230548,0.297927096,0.406998785,0.436716952,0.518081667,0,0
3644,0.4426,0.084,0.316660256,0.4290818,0.3365439,0.26808,0.33552236,0.473412413,0.549991781,0.552151667,0,0
3645,0.2863,0.084,0.264928917,0.272727,0.2672303,0.172283,0.226028339,0.340003819,0.389599486,0.454728333,0,0
3646,0.2943,0.084,0.279858547,0.2832071,0.2927427,0.167075,0.24886809,0.340315191,0.462521404,0.538745,0,0
3647,0.2013,0.084,0.198484473,0.1994192,0.2047366,0.129616,0.171955901,0.243892622,0.313993493,0.423356667,0,0
3648,0.1167,0.084,0.11526567,0.1186318,0.1167025,0.092855,0.107768245,0.135820573,0.17753339,0.234465,0,0
3649,0.1028,0.084,0.097974359,0.1093072,0.1030494,0.089593,0.098925388,0.116709028,0.156779795,0.188745,0,0
3650,0.0984,0.084,0.097230342,0.0989583,0.0987992,0.089316,0.097877717,0.113689323,0.127528767,0.148565,0,0
3651,0.0975,0.084,0.096496439,0.0981198,0.0978339,0.088908,0.097368789,0.112567014,0.125169521,0.144003333,0,0
3652,0.0982,0.084,0.097194302,0.099225,0.098456,0.089219,0.097898447,0.113411111,0.128281507,0.151526667,0,0
3653,0.1845,0.084,0.187966667,0.1855306,0.1874134,0.17377,0.182425155,0.203421788,0.215194521,0.235213333,0,0
3654,0.1479,0.084,0.146476353,0.1478363,0.1476669,0.133732,0.145369798,0.163070399,0.184164041,0.200325,0,0
